Date,oil_price,change_oil_price,gdp,change_gdp,interest_rate,change_interest_rate,cpi,change_cpi_rate,unemployment_rate,change_unemployment_rate,stock,stock_price,monthly_return,volatility,industry
02-1983,26.41,-2.975753123,3473.413,2.082313881,8.51,-42.42219215,98,0.102145046,10.4,0,MMM,8.165238380432129,0.038205926,0.018188332,Industrials & Energy
02-1983,26.41,-2.975753123,3473.413,2.082313881,8.51,-42.42219215,98,0.102145046,10.4,0,WMT,0.2565099895000458,0.047869171,0.062381428,Consumer Discretionary & Consumer Staples
03-1983,26.08,-1.249526694,3473.413,2.082313881,8.77,-40.25885559,98.1,0.102040816,10.3,-0.961538462,IBM,24.31883430480957,0.027777814,0.01516397,Technology & Communication Services
03-1983,26.08,-1.249526694,3473.413,2.082313881,8.77,-40.25885559,98.1,0.102040816,10.3,-0.961538462,MMM,8.165238380432129,0,0.02116167,Industrials & Energy
03-1983,26.08,-1.249526694,3473.413,2.082313881,8.77,-40.25885559,98.1,0.102040816,10.3,-0.961538462,WMT,0.3014320135116577,0.17512777611183017,0.11655516600776894,Consumer Discretionary & Consumer Staples
04-1983,25.85,-0.88190184,3578.848,3.035486998,8.8,-41.09772423,98.8,0.713557594,10.2,-0.970873786,IBM,27.96367073059082,0.14987710266443188,0.079264335,Technology & Communication Services
04-1983,25.85,-0.88190184,3578.848,3.035486998,8.8,-41.09772423,98.8,0.713557594,10.2,-0.970873786,MMM,8.883778572,0.087999904,0.044126931,Industrials & Energy
04-1983,25.85,-0.88190184,3578.848,3.035486998,8.8,-41.09772423,98.8,0.713557594,10.2,-0.970873786,WMT,0.3209640085697174,0.064797348,0.069106342,Consumer Discretionary & Consumer Staples
05-1983,26.08,0.889748549,3578.848,3.035486998,8.63,-40.27681661,99.2,0.4048583,10.1,-0.980392157,IBM,26.58938789367676,-0.049145295,0.10036210738514176,Technology & Communication Services
05-1983,26.08,0.889748549,3578.848,3.035486998,8.63,-40.27681661,99.2,0.4048583,10.1,-0.980392157,MMM,9.066680908203123,0.020588349,0.046029304,Industrials & Energy
05-1983,26.08,0.889748549,3578.848,3.035486998,8.63,-40.27681661,99.2,0.4048583,10.1,-0.980392157,WMT,0.3743489980697632,0.16632702756281126,0.061316844,Consumer Discretionary & Consumer Staples
06-1983,25.98,-0.383435583,3578.848,3.035486998,8.98,-36.53710247,99.4,0.201612903,10.1,0,IBM,28.740440368652344,0.080898909,0.10106054351855144,Technology & Communication Services
06-1983,25.98,-0.383435583,3578.848,3.035486998,8.98,-36.53710247,99.4,0.201612903,10.1,0,MMM,8.753134727478027,-0.034582245,0.061392854,Industrials & Energy
06-1983,25.98,-0.383435583,3578.848,3.035486998,8.98,-36.53710247,99.4,0.201612903,10.1,0,WMT,0.4075520038604736,0.088695324,0.053081809,Consumer Discretionary & Consumer Staples
07-1983,25.86,-0.461893764,3689.179,3.082863536,9.37,-25.57585385,99.8,0.402414487,9.4,-6.930693069,IBM,28.77031517028809,0.001039469,0.065583961,Technology & Communication Services
07-1983,25.86,-0.461893764,3689.179,3.082863536,9.37,-25.57585385,99.8,0.402414487,9.4,-6.930693069,MMM,8.308945655822754,-0.050746285,0.037402542,Industrials & Energy
07-1983,25.86,-0.461893764,3689.179,3.082863536,9.37,-25.57585385,99.8,0.402414487,9.4,-6.930693069,WMT,0.42708298563957214,0.047922674,0.060150757,Consumer Discretionary & Consumer Staples
08-1983,26.03,0.657385924,3689.179,3.082863536,9.56,-5.533596838,100.1,0.300601202,9.5,1.063829787,IBM,28.561185836791992,-0.007268927,0.048682863,Technology & Communication Services
08-1983,26.03,0.657385924,3689.179,3.082863536,9.56,-5.533596838,100.1,0.300601202,9.5,1.063829787,MMM,8.191367149353027,-0.014150833,0.018339147,Industrials & Energy
08-1983,26.03,0.657385924,3689.179,3.082863536,9.56,-5.533596838,100.1,0.300601202,9.5,1.063829787,WMT,0.4101560115814209,-0.039633923,0.065570525,Consumer Discretionary & Consumer Staples
